SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531080,SHRI KRISH  ,B ,Q,17.85,17.85,16.75,16.75,16.75,17.05,3,73,1277.00,
506180,SHRI OM TRD ,T ,Q,28.10,28.10,28.10,28.10,28.10,27.55,1,50,1405.00,
530295,SHRI RAJIV O,T ,Q,18.20,18.45,18.20,18.45,18.45,17.80,2,200,3665.00,
531322,SHRI SHAKTI ,T ,Q,1.34,1.34,1.34,1.34,1.34,1.36,1,100,134.00,
531359,SHRIRAM ASSE,B ,Q,20.55,20.55,20.55,20.55,20.55,19.70,1,5,102.00,
532945,SHRIRAM EPC ,B ,Q,90.00,94.00,87.95,90.65,93.90,88.15,67,220,20007.00,
511218,SHRIRAM TRAN,A ,Q,498.00,500.80,491.15,498.10,498.10,489.40,864,15911,7926689.00,
511411,SHRISTINFRA ,B ,Q,150.00,150.00,141.50,145.95,145.95,140.50,18,382,56691.00,
523790,SHUKRA JEW  ,T ,Q,2.91,2.91,2.90,2.90,2.90,3.05,3,800,2321.00,
517411,SHYAM TELEC.,B ,Q,31.55,31.55,27.55,28.40,28.35,26.90,360,5781,164422.00,
533014,SICAGEN IND ,B ,Q,15.50,16.75,15.50,16.63,16.75,15.78,125,12426,201710.00,
520086,SICAL LOG   ,B ,Q,69.80,70.00,69.00,69.15,69.05,69.75,20,985,68137.00,
530439,SIDDHA VEN  ,B ,Q,0.92,0.92,0.92,0.92,0.92,0.88,1,100,92.00,
500550,SIEMENS LTD.,A ,Q,681.00,711.00,681.00,707.75,707.75,678.20,1355,24098,16821383.00,
512131,SIGNET IND  ,T ,Q,90.00,90.00,89.95,90.00,90.00,91.20,3,20,1799.00,
531863,SIGRUN HOLD ,T ,Q,0.95,0.98,0.92,0.92,0.92,0.94,15,12750,11912.00,
523606,SIKA INTER. ,B ,Q,25.80,25.80,23.50,24.35,24.35,24.70,8,104,2447.00,
524642,SIKOZY REAL ,T ,Q,35.00,35.00,34.70,35.00,35.00,35.00,8,780,27256.00,
521194,SIL INVEST  ,B ,Q,65.25,67.35,65.20,67.35,67.35,65.70,6,6,399.00,
531738,SILICON VAL.,B ,Q,0.29,0.31,0.27,0.28,0.28,0.29,4,3415,951.00,
500389,SILVERLINE  ,T ,Q,2.44,2.57,2.38,2.55,2.55,2.45,99,58553,147363.00,
507446,SIMBH.SUGAR ,B ,Q,29.95,30.10,29.00,29.15,29.15,29.25,31,4471,131810.00,
507998,SIMMONDS-MAR,B ,Q,30.90,30.90,27.00,29.15,29.45,28.70,5,520,14748.00,
513472,SIMPLEX CAST,B ,Q,52.10,55.00,52.00,54.55,55.00,51.85,54,3504,186004.00,
533018,SIMPLEX MIL ,T ,Q,15.25,15.25,15.25,15.25,15.25,15.90,1,25,381.00,
532877,SIMPLEX PROJ,B ,Q,75.35,79.85,71.85,76.95,76.90,72.85,91,537,40219.00,
503229,SIMPLEX REAL,B ,Q,125.00,125.00,116.35,119.70,121.95,117.20,24,468,55776.00,
504382,SIMPLEX TRAD,T ,Q,238.50,250.00,238.50,243.75,240.00,251.00,12,49,11797.00,
